商品url,商品名,商品价格,店铺名,店铺url,店铺综合评分
https://item.taobao.com/item.htm?id=552871057794,中长款防晒衣服情侣装男女皮肤衣户外透气超薄夏季潮大码外套开衫,322.00 - 348.00,港仔男装1号店,http://shop489933794.taobao.com,4.3
https://item.taobao.com/item.htm?id=552907750739,夏季防晒衣男中长款外套青少年学生韩版薄款夏天户外男士透明风衣,322.00 - 348.00,港仔男装1号店,http://shop489933794.taobao.com,4.3
https://item.taobao.com/item.htm?id=552872185608,夏季中长款防晒衣男薄款韩版潮流印花披风外套户外运动防晒服风衣,322.00 - 348.00,港仔男装1号店,http://shop489933794.taobao.com,4.3
https://item.taobao.com/item.htm?id=555617443261,2017春秋装新款夹克男连帽中长款修身薄款外套青少年韩版风衣潮,198.00,韩潮衣都男装商城,http://shop112957880.taobao.com,4.8
https://item.taobao.com/item.htm?id=552951499500,夏季日系情侣纯色宽松防晒衣韩版青年潮牌男士中长款风衣薄款外套,322.00 - 348.00,港仔男装1号店,http://shop489933794.taobao.com,4.3
https://item.taobao.com/item.htm?id=552807464464,2017原宿风bf学生韩版印花连帽风衣超薄外套情侣防晒服男女中长款,322.00 - 348.00,港仔男装1号店,http://shop489933794.taobao.com,4.3
https://item.taobao.com/item.htm?id=552951751569,夏季韩版男风衣中长款九分袖薄外套情侣白色防晒服大码防晒衣户外,322.00 - 348.00,港仔男装1号店,http://shop489933794.taobao.com,4.3
https://item.taobao.com/item.htm?id=552951743535,夏韩版男风衣中长款白色九分袖薄款外套情侣潮流防晒服大码防晒衣,322.00 - 348.00,港仔男装1号店,http://shop489933794.taobao.com,4.3
https://item.taobao.com/item.htm?id=552807464286,夏季防晒服男士超薄连帽中长款风衣外套韩版青少年情侣防晒衣服潮,322.00 - 348.00,港仔男装1号店,http://shop489933794.taobao.com,4.3
https://item.taobao.com/item.htm?id=552048949689,2017春季新款中长款风衣薄款夹克男韩版青少年高中学生连帽外套潮,65.80,主流元素潮男服饰,http://shop324086351.taobao.com,4.4
https://item.taobao.com/item.htm?id=557062577302,2017秋冬男外套大码男夹克中长款男风衣 男棉衣 M-5XL F02 P100,138.00,魅裳城,http://yumeisc.taobao.com,0.0
https://item.taobao.com/item.htm?id=557062081262,余文乐横须贺刺绣情侣棒球服MA1空军飞行员夹克男女薄款风衣外套,125.00,气派王国,http://shop368206809.taobao.com,4.7
https://item.taobao.com/item.htm?id=553235705794,@魔王衣舍 夏季情侣夏季运动风衣青少年学生韩版男防晒衣服外套薄,68.00,魔王衣舍,http://mowang988.taobao.com,4.6
https://item.taobao.com/item.htm?id=555052093113,2017大童14岁加大码青少年15连帽宽松休闲夹克17男装薄风衣外套潮,299.00,淘宝店铺,https://www.taobao.com/,0.0
https://item.taobao.com/item.htm?id=521164739373,秋冬新款走秀男式长款高端毛呢风衣 复古羊驼绒绅士黑色大衣潮,5680.00,精品男装 私人定制,http://shop63024752.taobao.com,4.9
https://item.taobao.com/item.htm?id=557318788965,青少年13男孩中长款14初中学生风衣15男装16岁秋季夹克17连帽外套,98.00,淘宝店铺,https://www.taobao.com/,0.0
https://item.taobao.com/item.htm?id=45178562801,ME&CITY 双排扣时尚风衣535378 原单1.6折出售 支持专柜验货,99.00,ＫＫ的店,http://shop68067872.taobao.com,0.0
https://item.taobao.com/item.htm?id=557453246561,新款秋冬季青年潮流男风衣时尚简约中长款黑色风衣男宽松风衣外套,128.00,酷奇时尚男依,http://shop335287247.taobao.com,5.0
https://item.taobao.com/item.htm?id=557406941975,长款风衣男韩版修身潮男秋季薄款超长过膝盖宽松外套披风防男大衣,167.90,萌萌小衣馆,http://shop110733543.taobao.com,0.0
https://item.taobao.com/item.htm?id=556605396366,翻领小风衣春装新款 剪标男装 男士外套双排扣夹克男 青少年装,351.00,小光光爱分享,http://shop253417120.taobao.com,5.0
https://item.taobao.com/item.htm?id=557468895717,拉链秋季外套韩版印花中长款连帽青春流行青少年风衣男装标准,142.00,尚忆时尚精品店,http://shop128173603.taobao.com,0.0
https://item.taobao.com/item.htm?id=556686933339,潮男个性立领男装牛仔布料修身夹克春季时尚男士风衣剪标外套,351.00,小光光爱分享,http://shop253417120.taobao.com,5.0
https://item.taobao.com/item.htm?id=557453274157,2017秋季青年休闲夹克男薄款韩版修身纯色连帽风衣中长款,178.00,十载芳华,http://shop257083965.taobao.com,0.0
https://item.taobao.com/item.htm?id=557406957934,2017冬季新款潮男中长款毛呢大衣英伦风韩版修身风衣潮流大码外套,108.00,MIC唐潮,http://shop110480915.taobao.com,0.0
https://item.taobao.com/item.htm?id=44224624870,韩国代购MR 单排扣中长款情侣风衣外套韩版商务休闲男士宽松风衣,343.00,蓝泰晤士河代购,http://bluethames.taobao.com,4.7
https://item.taobao.com/item.htm?id=43910324838,511定制风衣 电影 同款,100.00,麦克小店,http://shop115007118.taobao.com,5.0
https://item.taobao.com/item.htm?id=556393931969,16春秋季男女同款风衣中长款纯色休闲中式长衫民族风外套情,72.00,沈赵商铺,http://shop354504709.taobao.com,5.0
https://item.taobao.com/item.htm?id=556722339805,2017秋季男士修身夹克青年外套新款潮流韩版中长款休闲连帽风衣,249.00,潮霆精品男装,http://shop60638968.taobao.com,5.0
https://item.taobao.com/item.htm?id=557318912488,2017秋锦纶95.6氨纶4.4 国潮 中国风原创夹克风衣外套男3010P108,200.00,杭州电商基地A119兆易原创,http://a436.taobao.com,4.6
https://item.taobao.com/item.htm?id=553159310399,帅气的秋冬季韩版男女发光夜光冲锋风衣日系潮流学生3M反光衣服男,76.80 - 81.70,乌口纯蜜洲,http://shop265823324.taobao.com,4.1
https://item.taobao.com/item.htm?id=537720915768,2016秋季新款潮牌加肥加大男装针织开衫中长款风衣胖子大码7xl,168.00,正源旗靓店,http://umylovely.taobao.com,4.7
https://item.taobao.com/item.htm?id=555960682435,DIY定制订做长袖广告衫风衣印字超市促销活动外套工作服文化衫,25.00,淘宝店铺,https://www.taobao.com/,0.0
https://item.taobao.com/item.htm?id=557404273946,秋韩版修身连帽夹克青年学生夹克衫风衣男外套男士休闲运动夹克潮,168.00,韩版男装基地酷,http://shop104624103.taobao.com,4.6
https://item.taobao.com/item.htm?id=521588115542,毛呢大衣男风衣青年呢大衣韩版修身潮短款妮子大衣男士外套男装04,158.00,万事兴时尚运动,http://shop57631937.taobao.com,4.2
https://item.taobao.com/item.htm?id=551014454695,皮肤衣户外春夏透气防晒衣男女防晒服轻薄运动皮肤风衣夹克带帽轻,99.00,潮先生潮品汇,http://chaoliuqianxian88.taobao.com,4.3
https://item.taobao.com/item.htm?id=548289410846,素我 男装原创设计单农中国风中式香云纱轻薄开叉前长后短开衫,900.00 - 930.00,素我isme,http://shop112439463.taobao.com,4.7
https://item.taobao.com/item.htm?id=553701199593,中国风雪纺防晒衫宽松汉服夏季超薄透气衣男士中长款七分袖风衣,138.00,淘宝店铺,https://www.taobao.com/,0.0
https://item.taobao.com/item.htm?id=550593076129,2017夏季新款休闲宽松连帽防晒服男青少年五分袖中长款防晒风衣男,79.00,潮人轩男装,http://chaorenxuan.taobao.com,4.7
https://item.taobao.com/item.htm?id=549423715323,代购日版barbour bedale sl修身无蜡风衣 洗水 染蓝 卡其色 铜扣,2300.00 - 2400.00,装在套子里的人,http://shop144352017.taobao.com,4.9
https://item.taobao.com/item.htm?id=557127660421,2017秋季帅小伙韩版修身风衣健身衣服运动服男士跑步休闲大衣风衣,279.00,筱筱潮流男装,http://shop159792429.taobao.com,4.0
https://item.taobao.com/item.htm?id=557511719300,韩版青少年中长款风衣男2017春季新款小西装男士修身外套学生披风,108.50,萌萌小衣馆,http://shop110733543.taobao.com,0.0
https://item.taobao.com/item.htm?id=557062741152,2017灰色西装领纤维秋季新款男风衣韩版呢大衣青春流行青年休闲,199.00,8090后潮流男装,http://shop238260134.taobao.com,4.5
https://item.taobao.com/item.htm?id=555830659493,日系秋季后背印花连帽套头风衣欧美春秋风衣男潮牌情侣半开领外套,170.00,流行秘密屋,http://shop466381467.taobao.com,4.7
https://item.taobao.com/item.htm?id=555017504184,包邮热卖大码厚款秋冬季韩式中长款开衫时尚休闲连帽外套男潮风衣,78.00,Hyd｜海依缔潮服,http://shop343327244.taobao.com,4.7
https://item.taobao.com/item.htm?id=548914044870,户外2017夏季新款防晒衣男中长款宽松学生大码薄款长袖青少年外套,298.00,大官人衣杉,http://shop69442507.taobao.com,4.7
https://item.taobao.com/item.htm?id=548845040743,硬货！呢绒风衣 看吊牌 看面料成分！超不超值你说了算！,100.00,高凉百果园,http://shop67722970.taobao.com,4.8
https://item.taobao.com/item.htm?id=545741312643,春夏季日系潮流外套男迷彩潮牌冲锋上衣薄款连帽复古学生风衣潮,138.00,潮轩服饰店,http://shop109322807.taobao.com,4.5
https://item.taobao.com/item.htm?id=556601496026,花花公子秋季新款男士中长款风衣外套韩版潮流修身连帽大衣防晒衣,158.00,随心换,http://shop277523695.taobao.com,5.0
https://item.taobao.com/item.htm?id=553719481841,17SS 规矩条纹字母印花薄款外套风衣 OW男女休闲带帽套头防晒衣潮,148.00,这是间有故事的店,http://shop145125979.taobao.com,5.0
https://item.taobao.com/item.htm?id=557319344041,青少年13男孩中长款14初中学生风衣15男装16岁秋季夹克17连帽外套,98.00,学生青年潮服,http://shop126352272.taobao.com,4.6
https://item.taobao.com/item.htm?id=554736729943,中国风男装风衣外套中长款 复古民族风薄款棉麻披风中式长衫开衫,98.00,紫金丰泰467587028,http://shop312684544.taobao.com,4.5
https://item.taobao.com/item.htm?id=554721400742,秋冬韩版男西装大衣印花潮牌中长款风衣外套包邮,79.00,忧乐男装,http://shop140266576.taobao.com,3.0
https://item.taobao.com/item.htm?id=557453250560,万斯哲运动外套 男春秋薄款运动夹克风衣男大码跑步修身运动服休,198.00,淘宝店铺,https://www.taobao.com/,0.0
https://item.taobao.com/item.htm?id=554796161559,冬季韩版加厚中长款连帽大衣加绒潮男士风衣外套包邮,99.00,忧乐男装,http://shop140266576.taobao.com,3.0
https://item.taobao.com/item.htm?id=557453330493,夏季非主流刺客信条男装风衣长款开衫灵魂摆渡赵吏外套秋斗篷披风,209.60,鱼尾纹舞百货店,http://shop264325484.taobao.com,5.0
https://item.taobao.com/item.htm?id=557061445828,韩版修身男士连帽夹克中长款外套学生潮流上衣秋季青年薄大衣风衣,218.00,名品 折扣服饰,http://shop129720669.taobao.com,5.0
https://item.taobao.com/item.htm?id=552728115552,VETE维特萌“OFFICIAL FAKE” 字母 长款雨衣 风衣 夹克 韩国限定,99.00,MOTHERFXCKER,http://shop468507946.taobao.com,4.9
https://item.taobao.com/item.htm?id=555006092016,夏季学生薄款防晒衣韩版风衣男中长款帅气情侣披风七分袖潮流外套,237.00,高鹏优品商店1,http://shop186208477.taobao.com,5.0
https://item.taobao.com/item.htm?id=556731850713,男士秋季新款2017韩版男上衣青年百搭翻领连帽徽章中长款风衣外套,399.00,淘宝店铺,https://www.taobao.com/,0.0
https://item.taobao.com/item.htm?id=554722400339,秋冬季男士夹克外套中长款男装潮流学生风衣大码包邮,89.00,忧乐男装,http://shop140266576.taobao.com,3.0
